Lower layer Super Output Areas Code,Migrant indicator (5 categories),Observation
E01000077,Migrant from within the UK: Address one year ago was in the UK,111
E01000077,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000078,Does not apply,19
E01000078,Address one year ago is the same as the address of enumeration,1733
E01000078,Address one year ago is student term-time or boarding school address in the UK,1
E01000078,Migrant from within the UK: Address one year ago was in the UK,139
E01000078,Migrant from outside the UK: Address one year ago was outside the UK,7
E01000079,Does not apply,21
E01000079,Address one year ago is the same as the address of enumeration,1562
E01000079,Address one year ago is student term-time or boarding school address in the UK,1
E01000079,Migrant from within the UK: Address one year ago was in the UK,123
E01000079,Migrant from outside the UK: Address one year ago was outside the UK,10
E01000080,Does not apply,19
E01000080,Address one year ago is the same as the address of enumeration,1622
E01000080,Address one year ago is student term-time or boarding school address in the UK,2
E01000080,Migrant from within the UK: Address one year ago was in the UK,131
E01000080,Migrant from outside the UK: Address one year ago was outside the UK,3
E01000081,Does not apply,13
E01000081,Address one year ago is the same as the address of enumeration,1829
E01000081,Address one year ago is student term-time or boarding school address in the UK,1
E01000081,Migrant from within the UK: Address one year ago was in the UK,124
E01000081,Migrant from outside the UK: Address one year ago was outside the UK,10
E01000082,Does not apply,24
E01000082,Address one year ago is the same as the address of enumeration,1792
E01000082,Address one year ago is student term-time or boarding school address in the UK,2
E01000082,Migrant from within the UK: Address one year ago was in the UK,92
E01000082,Migrant from outside the UK: Address one year ago was outside the UK,5
E01000083,Does not apply,19
E01000083,Address one year ago is the same as the address of enumeration,1770
E01000083,Address one year ago is student term-time or boarding school address in the UK,1
E01000083,Migrant from within the UK: Address one year ago was in the UK,116
E01000083,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000084,Does not apply,18
E01000084,Address one year ago is the same as the address of enumeration,1308
E01000084,Address one year ago is student term-time or boarding school address in the UK,1
E01000084,Migrant from within the UK: Address one year ago was in the UK,103
E01000084,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000085,Does not apply,20
E01000085,Address one year ago is the same as the address of enumeration,1501
E01000085,Address one year ago is student term-time or boarding school address in the UK,2
E01000085,Migrant from within the UK: Address one year ago was in the UK,103
E01000085,Migrant from outside the UK: Address one year ago was outside the UK,21
E01000086,Does not apply,15
E01000086,Address one year ago is the same as the address of enumeration,1328
E01000086,Address one year ago is student term-time or boarding school address in the UK,4
E01000086,Migrant from within the UK: Address one year ago was in the UK,76
E01000086,Migrant from outside the UK: Address one year ago was outside the UK,26
E01000087,Does not apply,17
E01000087,Address one year ago is the same as the address of enumeration,1499
E01000087,Address one year ago is student term-time or boarding school address in the UK,1
E01000087,Migrant from within the UK: Address one year ago was in the UK,100
E01000087,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000088,Does not apply,27
E01000088,Address one year ago is the same as the address of enumeration,1777
E01000088,Address one year ago is student term-time or boarding school address in the UK,7
E01000088,Migrant from within the UK: Address one year ago was in the UK,138
E01000088,Migrant from outside the UK: Address one year ago was outside the UK,26
E01000089,Does not apply,22
E01000089,Address one year ago is the same as the address of enumeration,1645
E01000089,Address one year ago is student term-time or boarding school address in the UK,2
E01000089,Migrant from within the UK: Address one year ago was in the UK,138
E01000089,Migrant from outside the UK: Address one year ago was outside the UK,17
E01000090,Does not apply,24
E01000090,Address one year ago is the same as the address of enumeration,1508
E01000090,Address one year ago is student term-time or boarding school address in the UK,7
E01000090,Migrant from within the UK: Address one year ago was in the UK,148
E01000090,Migrant from outside the UK: Address one year ago was outside the UK,21
E01000091,Does not apply,21
E01000091,Address one year ago is the same as the address of enumeration,1891
E01000091,Address one year ago is student term-time or boarding school address in the UK,5
E01000091,Migrant from within the UK: Address one year ago was in the UK,155
E01000091,Migrant from outside the UK: Address one year ago was outside the UK,19
E01000093,Does not apply,18
E01000093,Address one year ago is the same as the address of enumeration,1626
E01000093,Address one year ago is student term-time or boarding school address in the UK,2
E01000093,Migrant from within the UK: Address one year ago was in the UK,160
E01000093,Migrant from outside the UK: Address one year ago was outside the UK,6
E01000094,Does not apply,43
E01000094,Address one year ago is the same as the address of enumeration,2137
E01000094,Address one year ago is student term-time or boarding school address in the UK,2
E01000094,Migrant from within the UK: Address one year ago was in the UK,257
E01000094,Migrant from outside the UK: Address one year ago was outside the UK,22
E01000095,Does not apply,85
E01000095,Address one year ago is the same as the address of enumeration,1816
E01000095,Address one year ago is student term-time or boarding school address in the UK,0
E01000095,Migrant from within the UK: Address one year ago was in the UK,325
E01000095,Migrant from outside the UK: Address one year ago was outside the UK,22
E01000096,Does not apply,17
E01000096,Address one year ago is the same as the address of enumeration,1542
E01000096,Address one year ago is student term-time or boarding school address in the UK,2
E01000096,Migrant from within the UK: Address one year ago was in the UK,85
E01000096,Migrant from outside the UK: Address one year ago was outside the UK,13
E01000097,Does not apply,31
E01000097,Address one year ago is the same as the address of enumeration,1768
E01000097,Address one year ago is student term-time or boarding school address in the UK,2
E01000097,Migrant from within the UK: Address one year ago was in the UK,118
E01000097,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000098,Does not apply,24
E01000098,Address one year ago is the same as the address of enumeration,1774
E01000098,Address one year ago is student term-time or boarding school address in the UK,1
E01000098,Migrant from within the UK: Address one year ago was in the UK,117
E01000098,Migrant from outside the UK: Address one year ago was outside the UK,21
E01000099,Does not apply,53
E01000099,Address one year ago is the same as the address of enumeration,2528
E01000099,Address one year ago is student term-time or boarding school address in the UK,9
E01000099,Migrant from within the UK: Address one year ago was in the UK,154
E01000099,Migrant from outside the UK: Address one year ago was outside the UK,34
E01000100,Does not apply,28
E01000100,Address one year ago is the same as the address of enumeration,1721
E01000100,Address one year ago is student term-time or boarding school address in the UK,2
E01000100,Migrant from within the UK: Address one year ago was in the UK,173
E01000100,Migrant from outside the UK: Address one year ago was outside the UK,18
E01000101,Does not apply,21
E01000101,Address one year ago is the same as the address of enumeration,1512
E01000101,Address one year ago is student term-time or boarding school address in the UK,3
E01000101,Migrant from within the UK: Address one year ago was in the UK,148
E01000101,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000102,Does not apply,16
E01000102,Address one year ago is the same as the address of enumeration,1616
E01000102,Address one year ago is student term-time or boarding school address in the UK,4
E01000102,Migrant from within the UK: Address one year ago was in the UK,134
E01000102,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000103,Does not apply,22
E01000103,Address one year ago is the same as the address of enumeration,1659
E01000103,Address one year ago is student term-time or boarding school address in the UK,1
E01000103,Migrant from within the UK: Address one year ago was in the UK,82
E01000103,Migrant from outside the UK: Address one year ago was outside the UK,9
E01000104,Does not apply,30
E01000104,Address one year ago is the same as the address of enumeration,1767
E01000104,Address one year ago is student term-time or boarding school address in the UK,4
E01000104,Migrant from within the UK: Address one year ago was in the UK,99
E01000104,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000105,Does not apply,31
E01000105,Address one year ago is the same as the address of enumeration,2133
E01000105,Address one year ago is student term-time or boarding school address in the UK,1
E01000105,Migrant from within the UK: Address one year ago was in the UK,152
E01000105,Migrant from outside the UK: Address one year ago was outside the UK,15
E01000106,Does not apply,37
E01000106,Address one year ago is the same as the address of enumeration,1958
E01000106,Address one year ago is student term-time or boarding school address in the UK,4
E01000106,Migrant from within the UK: Address one year ago was in the UK,188
E01000106,Migrant from outside the UK: Address one year ago was outside the UK,21
E01000107,Does not apply,19
E01000107,Address one year ago is the same as the address of enumeration,1599
E01000107,Address one year ago is student term-time or boarding school address in the UK,0
E01000107,Migrant from within the UK: Address one year ago was in the UK,130
E01000107,Migrant from outside the UK: Address one year ago was outside the UK,38
E01000108,Does not apply,37
E01000108,Address one year ago is the same as the address of enumeration,1748
E01000108,Address one year ago is student term-time or boarding school address in the UK,1
E01000108,Migrant from within the UK: Address one year ago was in the UK,113
E01000108,Migrant from outside the UK: Address one year ago was outside the UK,16
E01000110,Does not apply,17
E01000110,Address one year ago is the same as the address of enumeration,1417
E01000110,Address one year ago is student term-time or boarding school address in the UK,5
E01000110,Migrant from within the UK: Address one year ago was in the UK,123
E01000110,Migrant from outside the UK: Address one year ago was outside the UK,11
E01000111,Does not apply,50
E01000111,Address one year ago is the same as the address of enumeration,1930
E01000111,Address one year ago is student term-time or boarding school address in the UK,2
E01000111,Migrant from within the UK: Address one year ago was in the UK,151
E01000111,Migrant from outside the UK: Address one year ago was outside the UK,22
E01000112,Does not apply,44
E01000112,Address one year ago is the same as the address of enumeration,1695
E01000112,Address one year ago is student term-time or boarding school address in the UK,1
E01000112,Migrant from within the UK: Address one year ago was in the UK,198
E01000112,Migrant from outside the UK: Address one year ago was outside the UK,33
E01000113,Does not apply,37
E01000113,Address one year ago is the same as the address of enumeration,1772
E01000113,Address one year ago is student term-time or boarding school address in the UK,2
E01000113,Migrant from within the UK: Address one year ago was in the UK,162
E01000113,Migrant from outside the UK: Address one year ago was outside the UK,22
E01000114,Does not apply,44
E01000114,Address one year ago is the same as the address of enumeration,2142
E01000114,Address one year ago is student term-time or boarding school address in the UK,1
E01000114,Migrant from within the UK: Address one year ago was in the UK,218
E01000114,Migrant from outside the UK: Address one year ago was outside the UK,14
E01000115,Does not apply,8
E01000115,Address one year ago is the same as the address of enumeration,1294
E01000115,Address one year ago is student term-time or boarding school address in the UK,7
E01000115,Migrant from within the UK: Address one year ago was in the UK,78
E01000115,Migrant from outside the UK: Address one year ago was outside the UK,8
E01000116,Does not apply,11
E01000116,Address one year ago is the same as the address of enumeration,1639
E01000116,Address one year ago is student term-time or boarding school address in the UK,7
E01000116,Migrant from within the UK: Address one year ago was in the UK,82
