Lower layer Super Output Areas Code,Age (4 categories),Observation
E01000187,Aged 30 years and over,1014
E01000188,Aged 15 years and under,373
E01000188,Aged 16 to 20 years,99
E01000188,Aged 21 to 29 years,116
E01000188,Aged 30 years and over,990
E01000189,Aged 15 years and under,570
E01000189,Aged 16 to 20 years,119
E01000189,Aged 21 to 29 years,352
E01000189,Aged 30 years and over,1429
E01000190,Aged 15 years and under,384
E01000190,Aged 16 to 20 years,109
E01000190,Aged 21 to 29 years,159
E01000190,Aged 30 years and over,1079
E01000191,Aged 15 years and under,353
E01000191,Aged 16 to 20 years,83
E01000191,Aged 21 to 29 years,119
E01000191,Aged 30 years and over,995
E01000192,Aged 15 years and under,450
E01000192,Aged 16 to 20 years,81
E01000192,Aged 21 to 29 years,227
E01000192,Aged 30 years and over,1239
E01000193,Aged 15 years and under,360
E01000193,Aged 16 to 20 years,118
E01000193,Aged 21 to 29 years,265
E01000193,Aged 30 years and over,1204
E01000194,Aged 15 years and under,455
E01000194,Aged 16 to 20 years,92
E01000194,Aged 21 to 29 years,229
E01000194,Aged 30 years and over,1130
E01000195,Aged 15 years and under,502
E01000195,Aged 16 to 20 years,118
E01000195,Aged 21 to 29 years,269
E01000195,Aged 30 years and over,1130
E01000196,Aged 15 years and under,303
E01000196,Aged 16 to 20 years,45
E01000196,Aged 21 to 29 years,294
E01000196,Aged 30 years and over,1483
E01000197,Aged 15 years and under,358
E01000197,Aged 16 to 20 years,55
E01000197,Aged 21 to 29 years,241
E01000197,Aged 30 years and over,1197
E01000198,Aged 15 years and under,578
E01000198,Aged 16 to 20 years,107
E01000198,Aged 21 to 29 years,233
E01000198,Aged 30 years and over,1275
E01000199,Aged 15 years and under,292
E01000199,Aged 16 to 20 years,78
E01000199,Aged 21 to 29 years,121
E01000199,Aged 30 years and over,1088
E01000200,Aged 15 years and under,360
E01000200,Aged 16 to 20 years,79
E01000200,Aged 21 to 29 years,173
E01000200,Aged 30 years and over,1366
E01000201,Aged 15 years and under,314
E01000201,Aged 16 to 20 years,89
E01000201,Aged 21 to 29 years,128
E01000201,Aged 30 years and over,1012
E01000202,Aged 15 years and under,319
E01000202,Aged 16 to 20 years,78
E01000202,Aged 21 to 29 years,188
E01000202,Aged 30 years and over,1088
E01000203,Aged 15 years and under,372
