Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01000126,"Asian, Asian British or Asian Welsh",453
E01000126,"Black, Black British, Black Welsh, Caribbean or African",462
E01000126,Mixed or Multiple ethnic groups,191
E01000126,White,861
E01000126,Other ethnic group,307
E01000127,Does not apply,0
E01000127,"Asian, Asian British or Asian Welsh",405
E01000127,"Black, Black British, Black Welsh, Caribbean or African",285
E01000127,Mixed or Multiple ethnic groups,80
E01000127,White,669
E01000127,Other ethnic group,117
E01000128,Does not apply,0
E01000128,"Asian, Asian British or Asian Welsh",536
E01000128,"Black, Black British, Black Welsh, Caribbean or African",376
E01000128,Mixed or Multiple ethnic groups,91
E01000128,White,925
E01000128,Other ethnic group,119
E01000129,Does not apply,0
E01000129,"Asian, Asian British or Asian Welsh",428
E01000129,"Black, Black British, Black Welsh, Caribbean or African",255
