Lower layer Super Output Areas Code,Ethnic group (6 categories),Observation
E01000129,Mixed or Multiple ethnic groups,80
E01000129,White,685
E01000129,Other ethnic group,156
E01000130,Does not apply,0
E01000130,"Asian, Asian British or Asian Welsh",477
E01000130,"Black, Black British, Black Welsh, Caribbean or African",426
E01000130,Mixed or Multiple ethnic groups,106
E01000130,White,818
E01000130,Other ethnic group,112
E01000131,Does not apply,0
E01000131,"Asian, Asian British or Asian Welsh",679
E01000131,"Black, Black British, Black Welsh, Caribbean or African",212
E01000131,Mixed or Multiple ethnic groups,100
E01000131,White,836
E01000131,Other ethnic group,194
E01000132,Does not apply,0
E01000132,"Asian, Asian British or Asian Welsh",386
E01000132,"Black, Black British, Black Welsh, Caribbean or African",248
E01000132,Mixed or Multiple ethnic groups,86
E01000132,White,683
E01000132,Other ethnic group,214
E01000133,Does not apply,0
E01000133,"Asian, Asian British or Asian Welsh",496
E01000133,"Black, Black British, Black Welsh, Caribbean or African",231
E01000133,Mixed or Multiple ethnic groups,68
E01000133,White,700
E01000133,Other ethnic group,150
E01000134,Does not apply,0
E01000134,"Asian, Asian British or Asian Welsh",435
E01000134,"Black, Black British, Black Welsh, Caribbean or African",320
E01000134,Mixed or Multiple ethnic groups,147
E01000134,White,790
E01000134,Other ethnic group,132
E01000135,Does not apply,0
E01000135,"Asian, Asian British or Asian Welsh",347
E01000135,"Black, Black British, Black Welsh, Caribbean or African",51
E01000135,Mixed or Multiple ethnic groups,75
E01000135,White,1030
E01000135,Other ethnic group,197
E01000136,Does not apply,0
E01000136,"Asian, Asian British or Asian Welsh",239
E01000136,"Black, Black British, Black Welsh, Caribbean or African",57
E01000136,Mixed or Multiple ethnic groups,80
E01000136,White,952
E01000136,Other ethnic group,158
E01000137,Does not apply,0
E01000137,"Asian, Asian British or Asian Welsh",279
E01000137,"Black, Black British, Black Welsh, Caribbean or African",311
E01000137,Mixed or Multiple ethnic groups,133
E01000137,White,721
E01000137,Other ethnic group,214
E01000138,Does not apply,0
E01000138,"Asian, Asian British or Asian Welsh",381
E01000138,"Black, Black British, Black Welsh, Caribbean or African",82
E01000138,Mixed or Multiple ethnic groups,109
E01000138,White,799
E01000138,Other ethnic group,247
E01000139,Does not apply,0
E01000139,"Asian, Asian British or Asian Welsh",209
E01000139,"Black, Black British, Black Welsh, Caribbean or African",73
E01000139,Mixed or Multiple ethnic groups,42
E01000139,White,896
E01000139,Other ethnic group,168
E01000140,Does not apply,0
E01000140,"Asian, Asian British or Asian Welsh",334
E01000140,"Black, Black British, Black Welsh, Caribbean or African",152
E01000140,Mixed or Multiple ethnic groups,110
E01000140,White,1183
E01000140,Other ethnic group,178
E01000141,Does not apply,0
E01000141,"Asian, Asian British or Asian Welsh",394
E01000141,"Black, Black British, Black Welsh, Caribbean or African",206
E01000141,Mixed or Multiple ethnic groups,142
E01000141,White,903
E01000141,Other ethnic group,221
E01000142,Does not apply,0
E01000142,"Asian, Asian British or Asian Welsh",415
E01000142,"Black, Black British, Black Welsh, Caribbean or African",214
E01000142,Mixed or Multiple ethnic groups,140
E01000142,White,1141
E01000142,Other ethnic group,325
E01000143,Does not apply,0
E01000143,"Asian, Asian British or Asian Welsh",256
E01000143,"Black, Black British, Black Welsh, Caribbean or African",326
E01000143,Mixed or Multiple ethnic groups,123
E01000143,White,804
E01000143,Other ethnic group,161
E01000144,Does not apply,0
E01000144,"Asian, Asian British or Asian Welsh",381
E01000144,"Black, Black British, Black Welsh, Caribbean or African",89
E01000144,Mixed or Multiple ethnic groups,63
E01000144,White,912
E01000144,Other ethnic group,215
E01000145,Does not apply,0
E01000145,"Asian, Asian British or Asian Welsh",217
E01000145,"Black, Black British, Black Welsh, Caribbean or African",60
E01000145,Mixed or Multiple ethnic groups,56
E01000145,White,1058
E01000145,Other ethnic group,222
E01000146,Does not apply,0
E01000146,"Asian, Asian British or Asian Welsh",340
E01000146,"Black, Black British, Black Welsh, Caribbean or African",67
E01000146,Mixed or Multiple ethnic groups,86
E01000146,White,1154
E01000146,Other ethnic group,225
E01000147,Does not apply,0
E01000147,"Asian, Asian British or Asian Welsh",814
E01000147,"Black, Black British, Black Welsh, Caribbean or African",86
E01000147,Mixed or Multiple ethnic groups,47
E01000147,White,760
E01000147,Other ethnic group,206
E01000150,Does not apply,0
E01000150,"Asian, Asian British or Asian Welsh",709
E01000150,"Black, Black British, Black Welsh, Caribbean or African",264
E01000150,Mixed or Multiple ethnic groups,141
E01000150,White,940
E01000150,Other ethnic group,201
E01000151,Does not apply,0
E01000151,"Asian, Asian British or Asian Welsh",321
E01000151,"Black, Black British, Black Welsh, Caribbean or African",493
E01000151,Mixed or Multiple ethnic groups,118
E01000151,White,604
E01000151,Other ethnic group,185
E01000152,Does not apply,0
E01000152,"Asian, Asian British or Asian Welsh",756
E01000152,"Black, Black British, Black Welsh, Caribbean or African",632
E01000152,Mixed or Multiple ethnic groups,135
E01000152,White,870
E01000152,Other ethnic group,300
E01000153,Does not apply,0
E01000153,"Asian, Asian British or Asian Welsh",390
E01000153,"Black, Black British, Black Welsh, Caribbean or African",448
E01000153,Mixed or Multiple ethnic groups,148
E01000153,White,806
E01000153,Other ethnic group,138
E01000154,Does not apply,0
E01000154,"Asian, Asian British or Asian Welsh",439
E01000154,"Black, Black British, Black Welsh, Caribbean or African",455
E01000154,Mixed or Multiple ethnic groups,116
E01000154,White,686
E01000154,Other ethnic group,218
E01000156,Does not apply,0
E01000156,"Asian, Asian British or Asian Welsh",198
E01000156,"Black, Black British, Black Welsh, Caribbean or African",106
E01000156,Mixed or Multiple ethnic groups,156
E01000156,White,1457
E01000156,Other ethnic group,109
E01000157,Does not apply,0
E01000157,"Asian, Asian British or Asian Welsh",125
E01000157,"Black, Black British, Black Welsh, Caribbean or African",105
E01000157,Mixed or Multiple ethnic groups,123
E01000157,White,1147
E01000157,Other ethnic group,82
E01000158,Does not apply,0
E01000158,"Asian, Asian British or Asian Welsh",243
E01000158,"Black, Black British, Black Welsh, Caribbean or African",118
E01000158,Mixed or Multiple ethnic groups,103
E01000158,White,913
E01000158,Other ethnic group,88
E01000159,Does not apply,0
E01000159,"Asian, Asian British or Asian Welsh",277
E01000159,"Black, Black British, Black Welsh, Caribbean or African",127
E01000159,Mixed or Multiple ethnic groups,95
E01000159,White,1147
E01000159,Other ethnic group,139
E01000160,Does not apply,0
E01000160,"Asian, Asian British or Asian Welsh",342
E01000160,"Black, Black British, Black Welsh, Caribbean or African",150
E01000160,Mixed or Multiple ethnic groups,134
E01000160,White,1169
E01000160,Other ethnic group,160
E01000161,Does not apply,0
E01000161,"Asian, Asian British or Asian Welsh",426
E01000161,"Black, Black British, Black Welsh, Caribbean or African",138
E01000161,Mixed or Multiple ethnic groups,141
E01000161,White,1148
E01000161,Other ethnic group,181
E01000162,Does not apply,0
E01000162,"Asian, Asian British or Asian Welsh",319
E01000162,"Black, Black British, Black Welsh, Caribbean or African",156
E01000162,Mixed or Multiple ethnic groups,110
E01000162,White,930
E01000162,Other ethnic group,132
E01000163,Does not apply,0
E01000163,"Asian, Asian British or Asian Welsh",174
E01000163,"Black, Black British, Black Welsh, Caribbean or African",223
E01000163,Mixed or Multiple ethnic groups,154
E01000163,White,1009
E01000163,Other ethnic group,133
E01000164,Does not apply,0
E01000164,"Asian, Asian British or Asian Welsh",238
E01000164,"Black, Black British, Black Welsh, Caribbean or African",220
E01000164,Mixed or Multiple ethnic groups,130
E01000164,White,969
E01000164,Other ethnic group,155
E01000165,Does not apply,0
E01000165,"Asian, Asian British or Asian Welsh",453
E01000165,"Black, Black British, Black Welsh, Caribbean or African",156
E01000165,Mixed or Multiple ethnic groups,132
E01000165,White,870
E01000165,Other ethnic group,201
E01000166,Does not apply,0
E01000166,"Asian, Asian British or Asian Welsh",202
E01000166,"Black, Black British, Black Welsh, Caribbean or African",86
E01000166,Mixed or Multiple ethnic groups,101
E01000166,White,1086
E01000166,Other ethnic group,146
E01000167,Does not apply,0
E01000167,"Asian, Asian British or Asian Welsh",155
E01000167,"Black, Black British, Black Welsh, Caribbean or African",84
E01000167,Mixed or Multiple ethnic groups,77
E01000167,White,976
E01000167,Other ethnic group,97
E01000168,Does not apply,0
E01000168,"Asian, Asian British or Asian Welsh",259
E01000168,"Black, Black British, Black Welsh, Caribbean or African",34
E01000168,Mixed or Multiple ethnic groups,65
E01000168,White,962
E01000168,Other ethnic group,195
E01000169,Does not apply,0
E01000169,"Asian, Asian British or Asian Welsh",132
E01000169,"Black, Black British, Black Welsh, Caribbean or African",103
E01000169,Mixed or Multiple ethnic groups,88
E01000169,White,1216
E01000169,Other ethnic group,92
E01000170,Does not apply,0
E01000170,"Asian, Asian British or Asian Welsh",220
E01000170,"Black, Black British, Black Welsh, Caribbean or African",164
E01000170,Mixed or Multiple ethnic groups,171
E01000170,White,1220
E01000170,Other ethnic group,132
E01000171,Does not apply,0
E01000171,"Asian, Asian British or Asian Welsh",229
E01000171,"Black, Black British, Black Welsh, Caribbean or African",198
E01000171,Mixed or Multiple ethnic groups,194
E01000171,White,1415
E01000171,Other ethnic group,257
E01000172,Does not apply,0
E01000172,"Asian, Asian British or Asian Welsh",214
E01000172,"Black, Black British, Black Welsh, Caribbean or African",45
E01000172,Mixed or Multiple ethnic groups,78
E01000172,White,1241
E01000172,Other ethnic group,113
E01000173,Does not apply,0
E01000173,"Asian, Asian British or Asian Welsh",228
E01000173,"Black, Black British, Black Welsh, Caribbean or African",125
E01000173,Mixed or Multiple ethnic groups,118
E01000173,White,1117
E01000173,Other ethnic group,103
E01000174,Does not apply,0
E01000174,"Asian, Asian British or Asian Welsh",211
E01000174,"Black, Black British, Black Welsh, Caribbean or African",84
E01000174,Mixed or Multiple ethnic groups,133
E01000174,White,1201
E01000174,Other ethnic group,128
E01000175,Does not apply,0
E01000175,"Asian, Asian British or Asian Welsh",254
E01000175,"Black, Black British, Black Welsh, Caribbean or African",49
E01000175,Mixed or Multiple ethnic groups,115
E01000175,White,1399
E01000175,Other ethnic group,213
E01000176,Does not apply,0
E01000176,"Asian, Asian British or Asian Welsh",229
E01000176,"Black, Black British, Black Welsh, Caribbean or African",196
E01000176,Mixed or Multiple ethnic groups,123
E01000176,White,1064
E01000176,Other ethnic group,110
E01000177,Does not apply,0
E01000177,"Asian, Asian British or Asian Welsh",173
E01000177,"Black, Black British, Black Welsh, Caribbean or African",39
E01000177,Mixed or Multiple ethnic groups,104
E01000177,White,1283
E01000177,Other ethnic group,64
E01000178,Does not apply,0
E01000178,"Asian, Asian British or Asian Welsh",164
E01000178,"Black, Black British, Black Welsh, Caribbean or African",79
E01000178,Mixed or Multiple ethnic groups,101
E01000178,White,1215
E01000178,Other ethnic group,115
E01000179,Does not apply,0
E01000179,"Asian, Asian British or Asian Welsh",207
E01000179,"Black, Black British, Black Welsh, Caribbean or African",76
E01000179,Mixed or Multiple ethnic groups,110
E01000179,White,1282
E01000179,Other ethnic group,112
E01000180,Does not apply,0
E01000180,"Asian, Asian British or Asian Welsh",218
E01000180,"Black, Black British, Black Welsh, Caribbean or African",135
E01000180,Mixed or Multiple ethnic groups,106
E01000180,White,1027
E01000180,Other ethnic group,129
E01000181,Does not apply,0
E01000181,"Asian, Asian British or Asian Welsh",187
E01000181,"Black, Black British, Black Welsh, Caribbean or African",31
E01000181,Mixed or Multiple ethnic groups,106
E01000181,White,1244
E01000181,Other ethnic group,120
E01000182,Does not apply,0
E01000182,"Asian, Asian British or Asian Welsh",179
E01000182,"Black, Black British, Black Welsh, Caribbean or African",31
E01000182,Mixed or Multiple ethnic groups,98
E01000182,White,1220
E01000182,Other ethnic group,92
E01000183,Does not apply,0
E01000183,"Asian, Asian British or Asian Welsh",168
E01000183,"Black, Black British, Black Welsh, Caribbean or African",39
E01000183,Mixed or Multiple ethnic groups,93
E01000183,White,1050
E01000183,Other ethnic group,172
E01000184,Does not apply,0
E01000184,"Asian, Asian British or Asian Welsh",336
E01000184,"Black, Black British, Black Welsh, Caribbean or African",274
E01000184,Mixed or Multiple ethnic groups,130
E01000184,White,929
E01000184,Other ethnic group,208
E01000185,Does not apply,0
E01000185,"Asian, Asian British or Asian Welsh",309
E01000185,"Black, Black British, Black Welsh, Caribbean or African",277
E01000185,Mixed or Multiple ethnic groups,117
E01000185,White,634
E01000185,Other ethnic group,135
E01000186,Does not apply,0
E01000186,"Asian, Asian British or Asian Welsh",329
E01000186,"Black, Black British, Black Welsh, Caribbean or African",32
E01000186,Mixed or Multiple ethnic groups,28
E01000186,White,1194
E01000186,Other ethnic group,188
E01000187,Does not apply,0
E01000187,"Asian, Asian British or Asian Welsh",251
E01000187,"Black, Black British, Black Welsh, Caribbean or African",120
E01000187,Mixed or Multiple ethnic groups,46
E01000187,White,1134
E01000187,Other ethnic group,187
E01000188,Does not apply,0
E01000188,"Asian, Asian British or Asian Welsh",404
E01000188,"Black, Black British, Black Welsh, Caribbean or African",61
E01000188,Mixed or Multiple ethnic groups,33
E01000188,White,890
E01000188,Other ethnic group,190
E01000189,Does not apply,0
E01000189,"Asian, Asian British or Asian Welsh",753
E01000189,"Black, Black British, Black Welsh, Caribbean or African",384
E01000189,Mixed or Multiple ethnic groups,188
E01000189,White,913
E01000189,Other ethnic group,232
E01000190,Does not apply,0
E01000190,"Asian, Asian British or Asian Welsh",407
E01000190,"Black, Black British, Black Welsh, Caribbean or African",111
E01000190,Mixed or Multiple ethnic groups,52
E01000190,White,960
E01000190,Other ethnic group,201
E01000191,Does not apply,0
E01000191,"Asian, Asian British or Asian Welsh",350
E01000191,"Black, Black British, Black Welsh, Caribbean or African",67
E01000191,Mixed or Multiple ethnic groups,39
E01000191,White,944
E01000191,Other ethnic group,149
E01000192,Does not apply,0
E01000192,"Asian, Asian British or Asian Welsh",384
E01000192,"Black, Black British, Black Welsh, Caribbean or African",121
E01000192,Mixed or Multiple ethnic groups,65
E01000192,White,1229
E01000192,Other ethnic group,198
E01000193,Does not apply,0
E01000193,"Asian, Asian British or Asian Welsh",463
E01000193,"Black, Black British, Black Welsh, Caribbean or African",107
