lsoa21cd,tfv_count
E01001759,34
E01001757,16
E01001755,24
E01001753,42
E01001749,31
E01001746,18
E01001740,22
E01001738,23
E01001737,29
E01001732,30
E01001728,20
E01001727,32
E01001726,11
E01001724,32
E01001723,36
E01001722,22
E01001719,22
E01001718,50
E01001717,7
E01001715,26
E01033702,18
E01033703,44
E01033710,15
E01035641,39
E01035642,38
E01035644,14
E01035645,36
E01035646,22
E01035647,9
E01035648,18
E01035649,28
E01001716,46
E01001733,75
E01001735,37
E01001736,15
E01001739,28
E01001741,20
E01001756,59
E01001763,55
E01001767,36
E01001769,29
E01001770,63
E01001780,54
E01001781,25
E01001788,21
E01001791,18
E01001792,56
E01001795,35
E01001804,12
E01001805,13
E01001814,17
E01001815,25
E01001816,29
E01001819,35
E01001827,31
E01001828,36
E01001829,11
E01001830,17
E01001831,32
E01001833,34
E01001837,27
E01001839,76
E01001850,23
E01033711,33
E01035638,10
E01035639,25
E01035640,48
E01035650,54
E01001729,51
E01001840,29
E01001826,18
E01001825,21
E01001809,26
E01001808,28
E01001807,19
E01001802,17
E01001793,34
E01001764,36
E01001762,66
E01001761,35
E01001760,58
E01001751,37
E01001747,29
E01001742,16
E01001731,87
E01001725,16
E01001720,33
E01033700,69
E01033705,32
E01035643,44
E01001734,65
E01001750,49
E01001847,18
E01001841,22
E01001824,20
E01001803,16
E01001773,69
E01001765,48
E01001745,35
E01001744,35
E01001730,37
E01001714,26
E01033699,64
E01033712,92
E01001799,13
E01001787,37
E01033709,43
E01033713,48
E01001758,37
E01001774,39
E01001801,25
E01001777,40
E01033704,96
E01001812,26
E01001848,23
E01033706,57
E01001806,22
E01001846,38
E01033708,126
E01001849,79
E01001786,26
E01001851,19
E01001853,29
E01001854,34
E01001855,12
E01001861,33
E01001862,32
E01001863,37
E01001864,42
E01001867,78
E01001872,24
E01001873,14
E01001878,22
E01001879,28
E01001882,25
E01001884,22
E01001885,13
E01001888,64
E01001896,31
E01001901,26
E01001903,25
E01001905,24
E01001906,18
E01001907,25
E01001908,19
E01001910,19
E01001914,46
E01001918,21
E01001926,25
E01001929,41
E01001931,58
E01001938,26
E01001940,39
E01001942,51
E01001944,22
E01001945,41
E01001948,46
E01001949,18
E01001952,51
E01001957,20
E01001958,16
E01001960,57
E01001961,21
E01032789,4
E01001852,14
E01001857,19
E01001859,27
E01001868,12
E01001881,38
E01001892,23
E01001893,91
E01001895,27
E01001897,29
E01001902,14
E01001909,29
E01001912,20
E01001924,14
E01001947,56
E01001951,46
E01001956,32
E01032788,36
E01001856,30
E01001875,24
E01001883,23
E01001889,43
E01001890,99
E01001904,18
E01001946,34
E01001953,16
E01032790,10
E01001865,35
