Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01000387,Owned: Owns with a mortgage or loan or shared ownership,248
E01000387,Social rented: Rents from council or Local Authority,6
E01000387,Social rented: Other social rented,25
E01000387,Private rented: Private landlord or letting agency,46
E01000387,Private rented: Other private rented or lives rent free,8
E01000388,Does not apply,0
E01000388,Owned: Owns outright,301
E01000388,Owned: Owns with a mortgage or loan or shared ownership,233
E01000388,Social rented: Rents from council or Local Authority,2
E01000388,Social rented: Other social rented,8
E01000388,Private rented: Private landlord or letting agency,47
E01000388,Private rented: Other private rented or lives rent free,8
E01000389,Does not apply,0
E01000389,Owned: Owns outright,249
E01000389,Owned: Owns with a mortgage or loan or shared ownership,256
E01000389,Social rented: Rents from council or Local Authority,13
E01000389,Social rented: Other social rented,77
E01000389,Private rented: Private landlord or letting agency,110
E01000389,Private rented: Other private rented or lives rent free,7
E01000390,Does not apply,0
E01000390,Owned: Owns outright,225
E01000390,Owned: Owns with a mortgage or loan or shared ownership,211
E01000390,Social rented: Rents from council or Local Authority,6
E01000390,Social rented: Other social rented,26
E01000390,Private rented: Private landlord or letting agency,37
E01000390,Private rented: Other private rented or lives rent free,10
E01000391,Does not apply,0
E01000391,Owned: Owns outright,217
E01000391,Owned: Owns with a mortgage or loan or shared ownership,308
E01000391,Social rented: Rents from council or Local Authority,11
E01000391,Social rented: Other social rented,30
E01000391,Private rented: Private landlord or letting agency,62
E01000391,Private rented: Other private rented or lives rent free,10
E01000392,Does not apply,0
E01000392,Owned: Owns outright,131
E01000392,Owned: Owns with a mortgage or loan or shared ownership,230
E01000392,Social rented: Rents from council or Local Authority,22
E01000392,Social rented: Other social rented,172
E01000392,Private rented: Private landlord or letting agency,193
E01000392,Private rented: Other private rented or lives rent free,16
E01000393,Does not apply,0
E01000393,Owned: Owns outright,227
E01000393,Owned: Owns with a mortgage or loan or shared ownership,302
E01000393,Social rented: Rents from council or Local Authority,0
E01000393,Social rented: Other social rented,2
E01000393,Private rented: Private landlord or letting agency,82
E01000393,Private rented: Other private rented or lives rent free,13
E01000394,Does not apply,0
E01000394,Owned: Owns outright,240
E01000394,Owned: Owns with a mortgage or loan or shared ownership,247
E01000394,Social rented: Rents from council or Local Authority,2
E01000394,Social rented: Other social rented,47
E01000394,Private rented: Private landlord or letting agency,122
E01000394,Private rented: Other private rented or lives rent free,12
E01000395,Does not apply,0
E01000395,Owned: Owns outright,230
E01000395,Owned: Owns with a mortgage or loan or shared ownership,254
E01000395,Social rented: Rents from council or Local Authority,1
E01000395,Social rented: Other social rented,17
E01000395,Private rented: Private landlord or letting agency,25
E01000395,Private rented: Other private rented or lives rent free,17
E01000396,Does not apply,0
E01000396,Owned: Owns outright,231
E01000396,Owned: Owns with a mortgage or loan or shared ownership,227
E01000396,Social rented: Rents from council or Local Authority,1
E01000396,Social rented: Other social rented,4
E01000396,Private rented: Private landlord or letting agency,35
E01000396,Private rented: Other private rented or lives rent free,9
E01000398,Does not apply,0
E01000398,Owned: Owns outright,213
E01000398,Owned: Owns with a mortgage or loan or shared ownership,237
E01000398,Social rented: Rents from council or Local Authority,19
E01000398,Social rented: Other social rented,102
E01000398,Private rented: Private landlord or letting agency,32
E01000398,Private rented: Other private rented or lives rent free,8
E01000399,Does not apply,0
E01000399,Owned: Owns outright,258
E01000399,Owned: Owns with a mortgage or loan or shared ownership,234
E01000399,Social rented: Rents from council or Local Authority,4
E01000399,Social rented: Other social rented,30
E01000399,Private rented: Private landlord or letting agency,83
E01000399,Private rented: Other private rented or lives rent free,13
E01000400,Does not apply,0
E01000400,Owned: Owns outright,231
E01000400,Owned: Owns with a mortgage or loan or shared ownership,243
E01000400,Social rented: Rents from council or Local Authority,4
E01000400,Social rented: Other social rented,26
E01000400,Private rented: Private landlord or letting agency,78
E01000400,Private rented: Other private rented or lives rent free,10
E01000401,Does not apply,0
E01000401,Owned: Owns outright,182
E01000401,Owned: Owns with a mortgage or loan or shared ownership,198
E01000401,Social rented: Rents from council or Local Authority,26
E01000401,Social rented: Other social rented,148
E01000401,Private rented: Private landlord or letting agency,123
E01000401,Private rented: Other private rented or lives rent free,14
E01000402,Does not apply,0
E01000402,Owned: Owns outright,137
E01000402,Owned: Owns with a mortgage or loan or shared ownership,195
E01000402,Social rented: Rents from council or Local Authority,27
E01000402,Social rented: Other social rented,161
E01000402,Private rented: Private landlord or letting agency,117
E01000402,Private rented: Other private rented or lives rent free,12
E01000403,Does not apply,0
E01000403,Owned: Owns outright,209
E01000403,Owned: Owns with a mortgage or loan or shared ownership,272
E01000403,Social rented: Rents from council or Local Authority,59
E01000403,Social rented: Other social rented,372
E01000403,Private rented: Private landlord or letting agency,138
E01000403,Private rented: Other private rented or lives rent free,12
E01000404,Does not apply,0
E01000404,Owned: Owns outright,66
E01000404,Owned: Owns with a mortgage or loan or shared ownership,226
E01000404,Social rented: Rents from council or Local Authority,96
E01000404,Social rented: Other social rented,267
E01000404,Private rented: Private landlord or letting agency,318
E01000404,Private rented: Other private rented or lives rent free,17
E01000405,Does not apply,0
E01000405,Owned: Owns outright,97
E01000405,Owned: Owns with a mortgage or loan or shared ownership,245
E01000405,Social rented: Rents from council or Local Authority,37
E01000405,Social rented: Other social rented,54
E01000405,Private rented: Private landlord or letting agency,116
E01000405,Private rented: Other private rented or lives rent free,16
E01000406,Does not apply,0
E01000406,Owned: Owns outright,151
E01000406,Owned: Owns with a mortgage or loan or shared ownership,380
E01000406,Social rented: Rents from council or Local Authority,30
E01000406,Social rented: Other social rented,45
E01000406,Private rented: Private landlord or letting agency,153
E01000406,Private rented: Other private rented or lives rent free,29
E01000407,Does not apply,0
E01000407,Owned: Owns outright,272
E01000407,Owned: Owns with a mortgage or loan or shared ownership,311
E01000407,Social rented: Rents from council or Local Authority,14
E01000407,Social rented: Other social rented,71
E01000407,Private rented: Private landlord or letting agency,76
E01000407,Private rented: Other private rented or lives rent free,16
E01000408,Does not apply,0
E01000408,Owned: Owns outright,141
E01000408,Owned: Owns with a mortgage or loan or shared ownership,227
E01000408,Social rented: Rents from council or Local Authority,22
E01000408,Social rented: Other social rented,35
E01000408,Private rented: Private landlord or letting agency,132
E01000408,Private rented: Other private rented or lives rent free,25
E01000409,Does not apply,0
E01000409,Owned: Owns outright,266
E01000409,Owned: Owns with a mortgage or loan or shared ownership,324
E01000409,Social rented: Rents from council or Local Authority,1
E01000409,Social rented: Other social rented,5
E01000409,Private rented: Private landlord or letting agency,47
E01000409,Private rented: Other private rented or lives rent free,11
E01000410,Does not apply,0
E01000410,Owned: Owns outright,229
E01000410,Owned: Owns with a mortgage or loan or shared ownership,291
E01000410,Social rented: Rents from council or Local Authority,2
E01000410,Social rented: Other social rented,5
E01000410,Private rented: Private landlord or letting agency,67
E01000410,Private rented: Other private rented or lives rent free,4
E01000411,Does not apply,0
E01000411,Owned: Owns outright,227
E01000411,Owned: Owns with a mortgage or loan or shared ownership,274
E01000411,Social rented: Rents from council or Local Authority,1
E01000411,Social rented: Other social rented,4
E01000411,Private rented: Private landlord or letting agency,45
E01000411,Private rented: Other private rented or lives rent free,2
E01000412,Does not apply,0
E01000412,Owned: Owns outright,231
E01000412,Owned: Owns with a mortgage or loan or shared ownership,312
E01000412,Social rented: Rents from council or Local Authority,4
E01000412,Social rented: Other social rented,3
E01000412,Private rented: Private landlord or letting agency,83
E01000412,Private rented: Other private rented or lives rent free,10
E01000413,Does not apply,0
E01000413,Owned: Owns outright,198
E01000413,Owned: Owns with a mortgage or loan or shared ownership,244
E01000413,Social rented: Rents from council or Local Authority,4
