Lower layer Super Output Areas Code,Tenure of household (7 categories),Observation
E01000082,Social rented: Rents from council or Local Authority,197
E01000082,Social rented: Other social rented,36
E01000082,Private rented: Private landlord or letting agency,140
E01000082,Private rented: Other private rented or lives rent free,11
E01000083,Does not apply,0
E01000083,Owned: Owns outright,110
E01000083,Owned: Owns with a mortgage or loan or shared ownership,198
E01000083,Social rented: Rents from council or Local Authority,172
E01000083,Social rented: Other social rented,27
E01000083,Private rented: Private landlord or letting agency,118
E01000083,Private rented: Other private rented or lives rent free,8
E01000084,Does not apply,0
E01000084,Owned: Owns outright,65
E01000084,Owned: Owns with a mortgage or loan or shared ownership,137
E01000084,Social rented: Rents from council or Local Authority,170
E01000084,Social rented: Other social rented,19
E01000084,Private rented: Private landlord or letting agency,95
E01000084,Private rented: Other private rented or lives rent free,12
E01000085,Does not apply,0
E01000085,Owned: Owns outright,67
E01000085,Owned: Owns with a mortgage or loan or shared ownership,123
E01000085,Social rented: Rents from council or Local Authority,185
E01000085,Social rented: Other social rented,58
E01000085,Private rented: Private landlord or letting agency,135
E01000085,Private rented: Other private rented or lives rent free,8
E01000086,Does not apply,0
E01000086,Owned: Owns outright,73
E01000086,Owned: Owns with a mortgage or loan or shared ownership,140
E01000086,Social rented: Rents from council or Local Authority,142
E01000086,Social rented: Other social rented,32
E01000086,Private rented: Private landlord or letting agency,92
E01000086,Private rented: Other private rented or lives rent free,9
E01000087,Does not apply,0
E01000087,Owned: Owns outright,94
E01000087,Owned: Owns with a mortgage or loan or shared ownership,141
E01000087,Social rented: Rents from council or Local Authority,141
E01000087,Social rented: Other social rented,28
E01000087,Private rented: Private landlord or letting agency,97
E01000087,Private rented: Other private rented or lives rent free,16
E01000088,Does not apply,0
E01000088,Owned: Owns outright,118
E01000088,Owned: Owns with a mortgage or loan or shared ownership,199
E01000088,Social rented: Rents from council or Local Authority,46
E01000088,Social rented: Other social rented,28
E01000088,Private rented: Private landlord or letting agency,205
E01000088,Private rented: Other private rented or lives rent free,8
E01000089,Does not apply,0
E01000089,Owned: Owns outright,136
E01000089,Owned: Owns with a mortgage or loan or shared ownership,202
E01000089,Social rented: Rents from council or Local Authority,44
E01000089,Social rented: Other social rented,23
E01000089,Private rented: Private landlord or letting agency,173
E01000089,Private rented: Other private rented or lives rent free,23
E01000090,Does not apply,0
E01000090,Owned: Owns outright,130
E01000090,Owned: Owns with a mortgage or loan or shared ownership,175
E01000090,Social rented: Rents from council or Local Authority,63
E01000090,Social rented: Other social rented,9
E01000090,Private rented: Private landlord or letting agency,171
E01000090,Private rented: Other private rented or lives rent free,10
E01000091,Does not apply,0
E01000091,Owned: Owns outright,68
E01000091,Owned: Owns with a mortgage or loan or shared ownership,133
E01000091,Social rented: Rents from council or Local Authority,345
E01000091,Social rented: Other social rented,22
E01000091,Private rented: Private landlord or letting agency,92
E01000091,Private rented: Other private rented or lives rent free,12
E01000093,Does not apply,0
E01000093,Owned: Owns outright,57
E01000093,Owned: Owns with a mortgage or loan or shared ownership,156
E01000093,Social rented: Rents from council or Local Authority,328
E01000093,Social rented: Other social rented,16
E01000093,Private rented: Private landlord or letting agency,86
E01000093,Private rented: Other private rented or lives rent free,22
E01000094,Does not apply,0
E01000094,Owned: Owns outright,24
E01000094,Owned: Owns with a mortgage or loan or shared ownership,224
E01000094,Social rented: Rents from council or Local Authority,205
E01000094,Social rented: Other social rented,146
E01000094,Private rented: Private landlord or letting agency,230
E01000094,Private rented: Other private rented or lives rent free,11
E01000095,Does not apply,0
E01000095,Owned: Owns outright,73
E01000095,Owned: Owns with a mortgage or loan or shared ownership,281
E01000095,Social rented: Rents from council or Local Authority,228
E01000095,Social rented: Other social rented,13
E01000095,Private rented: Private landlord or letting agency,134
E01000095,Private rented: Other private rented or lives rent free,8
E01000096,Does not apply,0
E01000096,Owned: Owns outright,46
E01000096,Owned: Owns with a mortgage or loan or shared ownership,135
E01000096,Social rented: Rents from council or Local Authority,208
E01000096,Social rented: Other social rented,12
E01000096,Private rented: Private landlord or letting agency,73
E01000096,Private rented: Other private rented or lives rent free,8
E01000097,Does not apply,0
E01000097,Owned: Owns outright,88
E01000097,Owned: Owns with a mortgage or loan or shared ownership,169
E01000097,Social rented: Rents from council or Local Authority,194
E01000097,Social rented: Other social rented,71
E01000097,Private rented: Private landlord or letting agency,148
E01000097,Private rented: Other private rented or lives rent free,15
E01000098,Does not apply,0
